locus_tag	ftype	length_bp	gene	EC_number	COG	product
NLJHNOKD_00332	CDS	390				hypothetical protein
NLJHNOKD_00333	CDS	903				putative protein
NLJHNOKD_00334	CDS	3654	addA	3.1.-.-		ATP-dependent helicase/nuclease subunit A
NLJHNOKD_00335	CDS	3477	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
NLJHNOKD_00336	CDS	576	spsB_1	3.4.21.89		Signal peptidase IB
NLJHNOKD_00337	CDS	525	spsB_2	3.4.21.89		Signal peptidase IB
NLJHNOKD_00338	CDS	576	ydjZ		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
NLJHNOKD_00339	CDS	1332	pgi	5.3.1.9		Glucose-6-phosphate isomerase
NLJHNOKD_00340	CDS	1206	argG	6.3.4.5	COG0137	Argininosuccinate synthase
NLJHNOKD_00341	CDS	1380	argH	4.3.2.1	COG0165	Argininosuccinate lyase
NLJHNOKD_00342	CDS	930	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
NLJHNOKD_00343	CDS	1245	gluD	1.4.1.2		NAD-specific glutamate dehydrogenase
NLJHNOKD_00344	CDS	1191	rocD2_1	2.6.1.13		Ornithine aminotransferase 2
NLJHNOKD_00345	CDS	1128		1.3.1.6		NADH:fumarate oxidoreductase
NLJHNOKD_00346	CDS	378	yugI		COG1098	General stress protein 13
NLJHNOKD_00347	CDS	594		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
NLJHNOKD_00348	CDS	384	kapB			Kinase-associated lipoprotein B
NLJHNOKD_00349	CDS	2406	mnhA1			Na(+)/H(+) antiporter subunit A1
NLJHNOKD_00350	CDS	429	mnhB1			Na(+)/H(+) antiporter subunit B1
NLJHNOKD_00351	CDS	342	mnhC1			Na(+)/H(+) antiporter subunit C1
NLJHNOKD_00352	CDS	1497	mnhD1_2			Na(+)/H(+) antiporter subunit D1
NLJHNOKD_00353	CDS	480	mnhE1			Na(+)/H(+) antiporter subunit E1
NLJHNOKD_00354	CDS	294	mnhF1			Na(+)/H(+) antiporter subunit F1
NLJHNOKD_00355	CDS	357	mnhG1			Na(+)/H(+) antiporter subunit G1
NLJHNOKD_00356	CDS	1155				hypothetical protein
NLJHNOKD_00357	CDS	375	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
NLJHNOKD_00358	CDS	1317				hypothetical protein
NLJHNOKD_00359	CDS	1476	pepA_1	3.4.11.10		cytosol aminopeptidase
NLJHNOKD_00360	CDS	1209		1.6.5.9	COG1252	Type II NADH:quinone oxidoreductase
NLJHNOKD_00361	CDS	360			COG0316	Protein
NLJHNOKD_00362	CDS	237				hypothetical protein
NLJHNOKD_00363	CDS	1065	yjlD	1.6.99.-	COG1252	NADH dehydrogenase-like protein YjlD
NLJHNOKD_00364	CDS	324				hypothetical protein
NLJHNOKD_00365	CDS	243	nfuA			Fe/S biogenesis protein NfuA
NLJHNOKD_00366	CDS	1176	dltD		COG3966	Protein DltD
NLJHNOKD_00367	CDS	237	dltC		COG0236	D-alanyl carrier protein
NLJHNOKD_00368	CDS	1215	dltB	2.3.1.-	COG1696	Teichoic acid D-alanyltransferase
NLJHNOKD_00369	CDS	1458	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
NLJHNOKD_00370	CDS	153				hypothetical protein
NLJHNOKD_00371	CDS	960	ghrB_1	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
NLJHNOKD_00372	CDS	780	yutF	3.1.3.5	COG0647	5'-nucleotidase YutF
NLJHNOKD_00373	CDS	435	yutE	3.1.-.-	COG2445	Putative RNase YutE
NLJHNOKD_00374	CDS	267				hypothetical protein
NLJHNOKD_00375	CDS	384				hypothetical protein
NLJHNOKD_00376	CDS	918	lipA_1	2.8.1.8		Lipoyl synthase
NLJHNOKD_00377	CDS	1320				hypothetical protein
NLJHNOKD_00378	CDS	828				hypothetical protein
NLJHNOKD_00379	CDS	849				hypothetical protein
NLJHNOKD_00380	CDS	1068	pnoA	1.13.12.-		Nitronate monooxygenase
NLJHNOKD_00381	CDS	1041				hypothetical protein
NLJHNOKD_00382	CDS	315				hypothetical protein
NLJHNOKD_00383	CDS	1398				Iron-sulfur cluster assembly SufBD family protein
NLJHNOKD_00384	CDS	465	sufU	2.-.-.-	COG0822	Zinc-dependent sulfurtransferase SufU
NLJHNOKD_00385	CDS	1242	csd	2.8.1.7		putative cysteine desulfurase
NLJHNOKD_00386	CDS	1308				Iron-sulfur cluster assembly SufBD family protein
NLJHNOKD_00387	CDS	762	sufC		COG0396	Vegetative protein 296
NLJHNOKD_00388	CDS	852				hypothetical protein
NLJHNOKD_00389	CDS	195				hypothetical protein
NLJHNOKD_00390	CDS	822	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
NLJHNOKD_00391	CDS	696	metP_1		COG2011	Methionine import system permease protein MetP
NLJHNOKD_00392	CDS	1026	metN2	7.4.2.11		Methionine import ATP-binding protein MetN 2
NLJHNOKD_00393	CDS	297				hypothetical protein
NLJHNOKD_00394	CDS	390	rnmV_1	3.1.26.8		Ribonuclease M5
NLJHNOKD_00395	CDS	381	gcvH			Glycine cleavage system H protein
NLJHNOKD_00396	CDS	357	mgsR		COG1393	Regulatory protein MgsR
NLJHNOKD_00397	CDS	321	ydbP		COG0526	Thioredoxin-like protein YdbP
NLJHNOKD_00398	CDS	540				hypothetical protein
NLJHNOKD_00399	CDS	717	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
NLJHNOKD_00400	CDS	423				Organic hydroperoxide resistance protein-like protein
NLJHNOKD_00401	CDS	495				hypothetical protein
NLJHNOKD_00402	CDS	618	argO		COG1279	Arginine exporter protein ArgO
NLJHNOKD_00403	CDS	582	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
NLJHNOKD_00404	CDS	237				hypothetical protein
NLJHNOKD_00405	CDS	204				hypothetical protein
NLJHNOKD_00406	CDS	261				hypothetical protein
NLJHNOKD_00407	CDS	189				hypothetical protein
NLJHNOKD_00408	CDS	570				hypothetical protein
NLJHNOKD_00409	CDS	285				hypothetical protein
NLJHNOKD_00410	CDS	219				hypothetical protein
NLJHNOKD_00411	CDS	201	cspA_1		COG1278	Cold shock protein CspA
NLJHNOKD_00412	CDS	687	nuc	3.1.31.1		Thermonuclease
NLJHNOKD_00413	CDS	342				hypothetical protein
NLJHNOKD_00414	CDS	660	nth_2	4.2.99.18	COG0177	Endonuclease III
NLJHNOKD_00415	CDS	687	dnaD		COG3935	Replicative helicase loading/DNA remodeling protein DnaD
NLJHNOKD_00416	CDS	1293	asnS	6.1.1.22		Asparagine--tRNA ligase
NLJHNOKD_00417	CDS	2694	dinG	3.1.-.-	COG0847	3'-5' exonuclease DinG
NLJHNOKD_00418	CDS	972	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
NLJHNOKD_00419	CDS	1203	cca	2.7.7.72		CCA-adding enzyme
NLJHNOKD_00420	CDS	1143	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
NLJHNOKD_00421	CDS	318	ypjD		COG1694	putative protein YpjD
NLJHNOKD_00422	CDS	699				hypothetical protein
NLJHNOKD_00423	CDS	588				hypothetical protein
NLJHNOKD_00424	CDS	588				hypothetical protein
NLJHNOKD_00425	CDS	1245	ypiA		COG0457	TPR repeat-containing protein YpiA
NLJHNOKD_00426	CDS	1299	aroA_1	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
NLJHNOKD_00427	CDS	1065	aroB_1	4.2.3.4		3-dehydroquinate synthase
NLJHNOKD_00428	CDS	1167	aroC	4.2.3.5		Chorismate synthase
NLJHNOKD_00429	CDS	201				hypothetical protein
NLJHNOKD_00430	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
NLJHNOKD_00431	CDS	960	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
NLJHNOKD_00432	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
NLJHNOKD_00433	CDS	573				hypothetical protein
NLJHNOKD_00434	CDS	273	hup			DNA-binding protein HU
NLJHNOKD_00435	CDS	999	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
NLJHNOKD_00436	CDS	1311	der			GTPase Der
NLJHNOKD_00437	CDS	1176	rpsA			Small ribosomal subunit protein bS1
NLJHNOKD_00438	CDS	660	cmk	2.7.4.25		Cytidylate kinase
NLJHNOKD_00439	CDS	969	ansA	3.5.1.1	COG0252	putative L-asparaginase
NLJHNOKD_00440	CDS	987	bdr	1.8.1.-	COG0492	Bacilliredoxin reductase Bdr
NLJHNOKD_00441	CDS	1464	ebpS		COG1388	Elastin-binding protein EbpS
NLJHNOKD_00442	CDS	1380	cshA_1	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
NLJHNOKD_00443	CDS	954	ypbB		COG4955	Protein YpbB
NLJHNOKD_00444	CDS	249				Ferredoxin
NLJHNOKD_00445	CDS	546	ribU			Riboflavin transporter RibU
NLJHNOKD_00446	CDS	957				hypothetical protein
NLJHNOKD_00447	CDS	255				hypothetical protein
NLJHNOKD_00448	CDS	897				hypothetical protein
NLJHNOKD_00449	CDS	906				hypothetical protein
NLJHNOKD_00450	CDS	2163				hypothetical protein
NLJHNOKD_00451	CDS	768				hypothetical protein
NLJHNOKD_00452	CDS	1752	srrB	2.7.13.3		Sensor protein SrrB
NLJHNOKD_00453	CDS	726	srrA			Transcriptional regulatory protein SrrA
NLJHNOKD_00454	CDS	738	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
NLJHNOKD_00455	CDS	543	scpB		COG1386	Segregation and condensation protein B
NLJHNOKD_00456	CDS	756	scpA		COG1354	Segregation and condensation protein A
NLJHNOKD_00457	CDS	507				hypothetical protein
NLJHNOKD_00458	CDS	888	xerD_2			Tyrosine recombinase XerD
NLJHNOKD_00459	CDS	450	fur		COG0735	Ferric uptake regulation protein
NLJHNOKD_00460	CDS	543	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
NLJHNOKD_00461	CDS	909	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
NLJHNOKD_00462	CDS	249				hypothetical protein
NLJHNOKD_00463	CDS	756		1.-.-.-		putative oxidoreductase
NLJHNOKD_00464	CDS	813	proC	1.5.1.2		Pyrroline-5-carboxylate reductase
NLJHNOKD_00465	CDS	921	rnz	3.1.26.11	COG1234	Ribonuclease Z
NLJHNOKD_00466	CDS	1485	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
NLJHNOKD_00467	CDS	867				hypothetical protein
NLJHNOKD_00468	CDS	1650	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
NLJHNOKD_00469	CDS	1020	malR		COG1609	HTH-type transcriptional regulator MalR
NLJHNOKD_00470	CDS	372				hypothetical protein
NLJHNOKD_00471	CDS	1218	entS			Enterobactin exporter EntS
NLJHNOKD_00472	CDS	1407	gnd	1.1.1.44		6-phosphogluconate dehydrogenase, decarboxylating
NLJHNOKD_00473	CDS	1134	pepT_1	3.4.11.4	COG2195	Peptidase T
NLJHNOKD_00474	CDS	93				hypothetical protein
NLJHNOKD_00475	CDS	981				hypothetical protein
NLJHNOKD_00476	CDS	438				Bacilliredoxin
NLJHNOKD_00477	CDS	1275	pdhC_1	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
NLJHNOKD_00478	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
NLJHNOKD_00479	CDS	993	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
NLJHNOKD_00480	CDS	1422		1.8.1.4		Dihydrolipoyl dehydrogenase
NLJHNOKD_00481	CDS	1680	recN		COG0497	DNA repair protein RecN
NLJHNOKD_00482	CDS	453	argR_1			Arginine repressor
NLJHNOKD_00483	CDS	882		2.5.1.10		Farnesyl diphosphate synthase
NLJHNOKD_00484	CDS	231	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
NLJHNOKD_00485	CDS	1338	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
NLJHNOKD_00486	CDS	390	nusB			Transcription antitermination protein NusB
NLJHNOKD_00487	CDS	363				putative protein
NLJHNOKD_00488	CDS	1356	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
NLJHNOKD_00489	CDS	465	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
NLJHNOKD_00490	CDS	558	efp		COG0231	Elongation factor P
NLJHNOKD_00491	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
NLJHNOKD_00492	CDS	582				hypothetical protein
NLJHNOKD_00493	CDS	219				hypothetical protein
NLJHNOKD_00494	CDS	831	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
NLJHNOKD_00495	CDS	387	yibN		COG0607	putative protein YibN
NLJHNOKD_00496	CDS	1473	gcvPB	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
NLJHNOKD_00497	CDS	1347	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
NLJHNOKD_00498	CDS	1092	gcvT	2.1.2.10		Aminomethyltransferase
NLJHNOKD_00499	CDS	525	aroK	2.7.1.71	COG0703	Shikimate kinase
NLJHNOKD_00500	CDS	375				hypothetical protein
NLJHNOKD_00501	CDS	300				hypothetical protein
NLJHNOKD_00502	CDS	435				hypothetical protein
NLJHNOKD_00503	CDS	312	comGC		COG4537	Competence protein ComGC
NLJHNOKD_00504	CDS	1071	pilC			Type IV pilus assembly protein PilC
NLJHNOKD_00505	CDS	975	comGA		COG2804	Competence protein ComGA
NLJHNOKD_00506	CDS	624		3.-.-.-		putative metallo-hydrolase
NLJHNOKD_00507	CDS	330				hypothetical protein
NLJHNOKD_00508	CDS	987	glcK	2.7.1.2	COG1940	Glucokinase
NLJHNOKD_00509	CDS	1464	gluP	3.4.21.105	COG0457	Rhomboid protease GluP
NLJHNOKD_00510	CDS	594	yqgN		COG0212	putative protein YqgN
NLJHNOKD_00511	CDS	150	rpmG2		COG0267	Large ribosomal subunit protein bL33B
NLJHNOKD_00512	CDS	2076	pbpA	3.4.16.4	COG0768	Penicillin-binding protein 2A
NLJHNOKD_00513	CDS	600	sodA	1.15.1.1	COG0605	Superoxide dismutase [Mn] 1
NLJHNOKD_00514	CDS	411	zur		COG0735	Zinc-specific metallo-regulatory protein
NLJHNOKD_00515	CDS	873	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
NLJHNOKD_00516	CDS	786	uup_2	3.6.1.-		ATP-binding protein Uup
NLJHNOKD_00517	CDS	891	nfo	3.1.21.2		putative endonuclease 4
NLJHNOKD_00518	CDS	1347	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
NLJHNOKD_00519	CDS	1101				GTP cyclohydrolase 1 type 2 
NLJHNOKD_00520	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
NLJHNOKD_00521	CDS	1107	sigA			RNA polymerase sigma factor SigA
NLJHNOKD_00522	CDS	1818	dnaG	2.7.7.101		DNA primase
NLJHNOKD_00523	CDS	819	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
NLJHNOKD_00524	CDS	540	ccpN		COG0517	Transcriptional repressor CcpN
NLJHNOKD_00525	CDS	1392	glyQS	6.1.1.14		Glycine--tRNA ligase
NLJHNOKD_00526	CDS	747	recO		COG1381	DNA repair protein RecO
NLJHNOKD_00527	CDS	900	era			GTPase Era
NLJHNOKD_00528	CDS	405	cdd	3.5.4.5	COG0295	Cytidine deaminase
NLJHNOKD_00529	CDS	345	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
NLJHNOKD_00530	CDS	468	ybeY	3.1.-.-		Endoribonuclease YbeY
NLJHNOKD_00531	CDS	948			COG1702	PhoH-like protein
NLJHNOKD_00532	CDS	699				hypothetical protein
NLJHNOKD_00533	CDS	990	floA			Flotillin-like protein FloA
NLJHNOKD_00534	CDS	708				hypothetical protein
NLJHNOKD_00535	CDS	177	rpsU		COG0828	Small ribosomal subunit protein bS21
NLJHNOKD_00536	CDS	1347	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
NLJHNOKD_00537	CDS	753	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
NLJHNOKD_00538	CDS	939	prmA	2.1.1.-		Ribosomal protein L11 methyltransferase
NLJHNOKD_00539	CDS	1140	dnaJ			Chaperone protein DnaJ
NLJHNOKD_00540	CDS	1833	dnaK			Chaperone protein DnaK
NLJHNOKD_00541	CDS	627	grpE			Protein GrpE
NLJHNOKD_00542	CDS	978	hrcA			Heat-inducible transcription repressor HrcA
NLJHNOKD_00543	CDS	1158	hemW		COG0635	Heme chaperone HemW
NLJHNOKD_00544	CDS	132				hypothetical protein
NLJHNOKD_00545	CDS	1824	lepA	3.6.5.-		Elongation factor 4
NLJHNOKD_00546	CDS	252	rpsT		COG0268	Small ribosomal subunit protein bS20
NLJHNOKD_00547	CDS	975	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
NLJHNOKD_00548	CDS	2202	comEC		COG0658	ComE operon protein 3
NLJHNOKD_00549	CDS	432	tadA_2	3.5.4.33		tRNA-specific adenosine deaminase
NLJHNOKD_00550	CDS	678	comEA		COG1555	ComE operon protein 1
NLJHNOKD_00551	CDS	717	bioC	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
NLJHNOKD_00552	CDS	354	rsfS		COG0799	Ribosomal silencing factor RsfS
NLJHNOKD_00553	CDS	585	yqeK	3.6.1.41	COG1713	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
NLJHNOKD_00554	CDS	570	nadD	2.7.7.18		putative nicotinate-nucleotide adenylyltransferase
NLJHNOKD_00555	CDS	291	yhbY		COG1534	RNA-binding protein YhbY
NLJHNOKD_00556	CDS	807	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
NLJHNOKD_00557	CDS	1101	yqeH		COG1161	putative protein YqeH
NLJHNOKD_00558	CDS	528		3.1.3.3		Phosphoserine phosphatase
NLJHNOKD_00559	CDS	687	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
NLJHNOKD_00560	CDS	270				hypothetical protein
NLJHNOKD_00561	CDS	753	entA			Enterotoxin type A
NLJHNOKD_00562	CDS	1230	mntH_1			Divalent metal cation transporter MntH
NLJHNOKD_00563	CDS	753	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
NLJHNOKD_00564	CDS	1362	accC	6.3.4.14		Biotin carboxylase
NLJHNOKD_00565	CDS	450	accB_2		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
NLJHNOKD_00566	CDS	1011	pxpC_2	3.5.2.9	COG1984	5-oxoprolinase subunit C
NLJHNOKD_00567	CDS	735	pxpB_2	3.5.2.9	COG2049	5-oxoprolinase subunit B
NLJHNOKD_00568	CDS	477	greA			Transcription elongation factor GreA
NLJHNOKD_00569	CDS	624	udk	2.7.1.48		Uridine kinase
NLJHNOKD_00570	CDS	1269	trhP_1	3.4.-.-	COG0826	tRNA hydroxylation protein P
NLJHNOKD_00571	CDS	924	trhP_2	3.4.-.-	COG0826	tRNA hydroxylation protein P
NLJHNOKD_00572	CDS	639	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
NLJHNOKD_00573	CDS	309				hypothetical protein
NLJHNOKD_00574	CDS	429	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
NLJHNOKD_00575	CDS	261				hypothetical protein
NLJHNOKD_00576	CDS	2634	alaS	6.1.1.7		Alanine--tRNA ligase
NLJHNOKD_00577	CDS	2478	recD2_1	5.6.2.3	COG0507	ATP-dependent RecD2 DNA helicase
NLJHNOKD_00578	CDS	669	yrrB		COG0457	TPR repeat-containing protein YrrB
NLJHNOKD_00579	CDS	201				hypothetical protein
NLJHNOKD_00580	CDS	1119	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
NLJHNOKD_00581	CDS	1143	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
NLJHNOKD_00582	CDS	1014	cmoO_1	1.14.14.-	COG2141	N-acetyl-S-alkylcysteine monooxygenase
NLJHNOKD_00583	CDS	147				hypothetical protein
NLJHNOKD_00584	CDS	183				hypothetical protein
NLJHNOKD_00585	CDS	423	cymR		COG1959	HTH-type transcriptional regulator CymR
NLJHNOKD_00586	CDS	1275	rarA	3.6.4.-	COG2256	Replication-associated recombination protein A
NLJHNOKD_00587	CDS	774				hypothetical protein
NLJHNOKD_00588	CDS	1767	aspS	6.1.1.12		Aspartate--tRNA ligase
NLJHNOKD_00589	CDS	1263	hisS	6.1.1.21		Histidine--tRNA ligase
NLJHNOKD_00590	CDS	876	lytH	3.5.1.-	COG0860	putative cell wall amidase LytH
NLJHNOKD_00591	CDS	453	dtd	3.1.1.96		D-aminoacyl-tRNA deacylase
NLJHNOKD_00592	CDS	2211	relA	2.7.6.5		GTP pyrophosphokinase
NLJHNOKD_00593	CDS	519	apt	2.4.2.7		Adenine phosphoribosyltransferase
NLJHNOKD_00594	CDS	2274	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
NLJHNOKD_00595	CDS	2280	secDF		COG0341	Protein translocase subunit SecDF
NLJHNOKD_00596	CDS	261	yajC		COG1862	Sec translocon accessory complex subunit YajC
NLJHNOKD_00597	CDS	1140	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
NLJHNOKD_00598	CDS	1026	queA	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
NLJHNOKD_00599	CDS	1005	ruvB	3.6.4.-		Holliday junction branch migration complex subunit RuvB
NLJHNOKD_00600	CDS	603	ruvA		COG0632	Holliday junction branch migration complex subunit RuvA
NLJHNOKD_00601	CDS	459				hypothetical protein
NLJHNOKD_00602	CDS	1293	obg	3.6.5.-		GTPase Obg
NLJHNOKD_00603	CDS	285	rpmA		COG0211	Large ribosomal subunit protein bL27
NLJHNOKD_00604	CDS	321	prp	3.4.22.-	COG2868	Ribosomal processing cysteine protease Prp
NLJHNOKD_00605	CDS	309	rplU		COG0261	Large ribosomal subunit protein bL21
NLJHNOKD_00606	CDS	2607				hypothetical protein
NLJHNOKD_00607	CDS	885	rbgA		COG1161	Ribosome biogenesis GTPase A
NLJHNOKD_00608	CDS	768	rnhB	3.1.26.4	COG0164	Ribonuclease HII
NLJHNOKD_00609	CDS	1167	sucC	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit beta
NLJHNOKD_00610	CDS	909	sucD	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit alpha
NLJHNOKD_00611	CDS	1119	lytN	3.-.-.-	COG1388	putative cell wall hydrolase LytN
NLJHNOKD_00612	CDS	1245	femA_1	2.3.2.17		Aminoacyltransferase FemA
NLJHNOKD_00613	CDS	873				hypothetical protein
NLJHNOKD_00614	CDS	2076	topA	5.6.2.1		DNA topoisomerase 1
NLJHNOKD_00615	CDS	1308	trmFO	2.1.1.74		Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
NLJHNOKD_00616	CDS	897	xerC_1		COG4974	Tyrosine recombinase XerC
NLJHNOKD_00617	CDS	546	hslV	3.4.25.2		ATP-dependent protease subunit HslV
NLJHNOKD_00618	CDS	1404	hslU			ATP-dependent protease ATPase subunit HslU
NLJHNOKD_00619	CDS	774	codY			Global transcriptional regulator CodY
NLJHNOKD_00620	CDS	768	rpsB		COG0052	Small ribosomal subunit protein uS2
NLJHNOKD_00621	CDS	882	tsf			Elongation factor Ts
NLJHNOKD_00622	CDS	723	pyrH	2.7.4.22	COG0528	Uridylate kinase
NLJHNOKD_00623	CDS	555	frr			Ribosome-recycling factor
NLJHNOKD_00624	CDS	771	uppS	2.5.1.-		Isoprenyl transferase
NLJHNOKD_00625	CDS	783				hypothetical protein
NLJHNOKD_00626	CDS	1287		3.4.24.-		Putative zinc metalloprotease
NLJHNOKD_00627	CDS	1704	proS	6.1.1.15		Proline--tRNA ligase
NLJHNOKD_00628	CDS	4317	polC	2.7.7.7		DNA polymerase III PolC-type
NLJHNOKD_00629	CDS	468	rimP		COG0779	Ribosome maturation factor RimP
NLJHNOKD_00630	CDS	1176	nusA		COG0195	Transcription termination/antitermination protein NusA
NLJHNOKD_00631	CDS	285				hypothetical protein
NLJHNOKD_00632	CDS	318	rulQ		COG1358	RNA-binding protein YlxQ
NLJHNOKD_00633	CDS	2118	infB			Translation initiation factor IF-2
NLJHNOKD_00634	CDS	351	rbfA		COG0858	Ribosome-binding factor A
NLJHNOKD_00635	CDS	918	truB	5.4.99.25		tRNA pseudouridine synthase B
NLJHNOKD_00636	CDS	972	ribCF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
NLJHNOKD_00637	CDS	270	rpsO		COG0184	Small ribosomal subunit protein uS15
NLJHNOKD_00638	CDS	2097	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
NLJHNOKD_00639	CDS	1674	rnj2	3.1.-.-	COG0595	Ribonuclease J 2
NLJHNOKD_00640	CDS	2370	ftsK			DNA translocase FtsK
NLJHNOKD_00641	CDS	714				hypothetical protein
NLJHNOKD_00642	CDS	1266				hypothetical protein
NLJHNOKD_00643	CDS	1287				hypothetical protein
NLJHNOKD_00644	CDS	705	phaB	1.1.1.36	COG1028	Acetoacetyl-CoA reductase
NLJHNOKD_00645	CDS	828				hypothetical protein
NLJHNOKD_00646	CDS	393				hypothetical protein
NLJHNOKD_00647	CDS	579	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NLJHNOKD_00648	CDS	1152				hypothetical protein
NLJHNOKD_00649	CDS	1044	recA			Protein RecA
NLJHNOKD_00650	CDS	1560	rny	3.1.-.-	COG1418	Ribonuclease Y
NLJHNOKD_00651	CDS	216				hypothetical protein
NLJHNOKD_00652	CDS	798	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
NLJHNOKD_00653	CDS	1761	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
NLJHNOKD_00654	CDS	867				hypothetical protein
NLJHNOKD_00655	CDS	294				hypothetical protein
NLJHNOKD_00656	CDS	1545	miaB	2.8.4.3		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
NLJHNOKD_00657	CDS	366	ymcA		COG4550	putative protein YmcA
NLJHNOKD_00658	CDS	492				hypothetical protein
NLJHNOKD_00659	CDS	2619	mutS_1		COG0249	DNA mismatch repair protein MutS
NLJHNOKD_00660	CDS	2010	mutL			DNA mismatch repair protein MutL
NLJHNOKD_00661	CDS	534	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
NLJHNOKD_00662	CDS	819	glpF		COG0580	Glycerol uptake facilitator protein
NLJHNOKD_00663	CDS	1497	glpK	2.7.1.30		Glycerol kinase
NLJHNOKD_00664	CDS	1674	glpD	1.1.5.3		Aerobic glycerol-3-phosphate dehydrogenase
NLJHNOKD_00665	CDS	918		3.1.1.23	COG2267	Monoacylglycerol lipase
NLJHNOKD_00666	CDS	936	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
NLJHNOKD_00667	CDS	234	hfq		COG1923	RNA-binding protein Hfq
NLJHNOKD_00668	CDS	477	bsaA_1			Glutathione peroxidase BsaA
NLJHNOKD_00669	CDS	1239	hflX			GTPase HflX
